names,calorie,total fats,carbs,protein
lamb loin raw,88,7.5,0.0,4.6
lamb sirloin raw,1234,100.3,0.0,76.8
sausage patty mcdonalds,115,11.2,0.4,4.3
lamb foreshank cooked,360,19.9,0.0,42.0
ham salad,97,7.0,4.8,3.9
lamb rib raw,1687,156.0,0.0,65.9
lamb shoulder raw,1198,97.3,0.0,75.2
lamb meat raw,1102,84.6,0.0,79.6
lamb shoulder cooked,750,53.5,0.0,62.5
mutton cooked,66,3.1,0.027,9.5
lamb leg cooked,684,43.7,0.0,67.7
beef stick,110,9.9,1.1,4.3
veal sirloin cooked,517,26.9,0.0,64.1
veal rib cooked,444,22.2,0.0,57.4
veal meat cooked,483,23.8,0.0,62.9
beef rib roasted,238,19.1,0.0,15.4
veal sirloin raw,689,35.4,0.0,86.5
beef top loin filet grilled,323,19.0,0.8,37.0
beef under blade steak cooked,983,46.7,0.0,140.8
mock tender steak raw,244,8.3,0.0,42.2
ground beef cooked,375,24.8,0.0,35.5
ground beef raw,1506,136.1,0.0,65.1
beef diced asda,48,0.7,10.5,0.0
veal rib raw,735,40.9,0.0,85.5
ground veal raw,41,1.9,0.0,5.5
t bone steak cooked,1049,74.1,0.0,89.3
veal leg round raw,531,14.0,0.0,95.2
beef top sirloin steak raw,1222,77.3,0.0,123.4
beef plate steak grilled,508,35.6,0.0,47.1
ground veal cooked,514,22.6,0.0,72.9
veal leg round cooked,574,17.2,0.0,98.4
porterhouse steak raw,1170,91.1,0.0,81.6
veal shank raw,513,15.8,0.0,86.9
veal breast cooked,753,47.5,0.0,76.3
corned beef canned,53,3.1,0.0,5.7
rib eye steak grilled,680,47.7,0.0,62.4
veal shoulder raw,0,0.0,0.0,0.0
t bone steak raw,1052,76.3,0.0,85.7
sirloin steak,324,14.1,0.0,49.5
mock tender steak cooked,137,4.9,0.0,21.9
beef round steak cooked,385,12.1,0.0,64.8
chuck blade roast raw,1125,88.0,0.0,77.8
beef shoulder steak raw,349,17.3,0.0,48.2
beef top blade cooked,184,10.0,0.0,21.9
corned beef cooked,53,4.0,0.006,3.8
beef round steak raw,753,36.0,0.0,100.1
beef shoulder steak grilled,155,5.8,0.0,24.0
chuck eye steak raw,856,62.8,0.0,72.4
beef bottom round steak cooked,980,35.1,0.0,155.8
porterhouse steak cooked,235,16.4,0.0,20.4
beef under blade steak raw,1235,80.8,0.0,126.8
beef plate steak raw,617,46.8,0.9,47.8
beef meat canned,111,7.9,0.0,9.2
beef breakfast strips raw,92,8.8,0.2,2.8
beef brisket cooked,589,43.6,0.0,46.0
corned beef raw,898,67.6,0.6,66.6
beef mince meat asda,55,3.1,6.8,0.0
pastrami beef fat free,9,0.1,0.1,1.9
rib eye steak raw,743,54.5,0.4,62.8
beef tenderloin steak cooked,374,24.0,0.0,37.0
chuck blade roast cooked,842,62.0,0.0,66.1
cured beef dried,4,0.019,0.06,0.9
beef flank steak cooked,380,17.5,0.0,51.8
chuck eye steak grilled,853,60.5,0.0,76.9
veal meat raw,653,30.7,0.0,87.8
veal loin cooked,80,4.9,0.0,8.5
veal loin raw,46,2.6,0.0,5.3
veal shoulder cooked,435,19.4,0.0,61.2
beef tenderloin steak raw,405,29.8,0.0,32.2
veal shank cooked,371,12.0,0.0,61.2
beef brisket raw,1139,86.5,0.0,83.6
pastrami beef,104,4.1,0.3,15.5
beef flank steak raw,47,2.3,0.0,6.0
beef top sirloin steak cooked,430,25.2,0.0,47.7
veal breast raw,943,66.9,0.0,79.2
beef rib raw,1433,123.8,0.0,73.8
beef jerky,82,5.1,2.2,6.6
beef breakfast strips cooked,51,3.9,0.2,3.5
pork olive loaf,66,4.6,2.6,3.3
beef luncheon meat jellied,31,0.9,0.0,5.3
turkey pastrami,38,1.8,0.5,4.6
pork salami,41,3.4,0.2,2.3
canadian style bacon raw,45,2.0,0.5,5.9
honey loaf,85,3.6,2.6,9.9
pork beef salami,37,3.1,0.076,2.1
beef pork bologna,92,7.4,1.6,4.6
pork beef salami cooked,41,3.2,0.3,2.7
pork breakfast strips raw,88,8.4,0.2,2.7
pickle pimiento loaf,86,6.1,3.2,4.3
luxury loaf,39,1.3,1.4,5.2
mortadella,47,3.8,0.5,2.5
pork bologna,69,5.6,0.2,4.3
turkey salami cooked,9,0.5,0.081,1.0
pepperoni beef,10,0.9,0.0,0.5
peppered loaf,42,1.8,1.3,4.9
luncheon meat beef,10,0.3,0.0,1.8
