code,brand,name_hu,name_main,calorie,protein,fat,carb,image_url
20252243,Ballino,"Corner, strawberry",Sienofen Pizza Lachs,237.0,9.2,10.1,26.4,https://images.openfoodfacts.org/images/products/000/002/025/2243/front_lt.5.400.jpg
20252250,Ballino,"Corner, vanilla","Corner, vanilla",297.1,3.4,14.0,39.0,
20255428,"Snack Day, Lidl, Vitasia",,Tapioca and prawn crackers classic,558.0,0.7,33.6,62.4,https://images.openfoodfacts.org/images/products/000/002/025/5428/front_en.107.400.jpg
20267605,Alesto,,Cashewkerne,600.0,20.5,47.6,19.8,https://images.openfoodfacts.org/images/products/000/002/026/7605/front_hu.500.400.jpg
20280239,Milbona,"Gouda, XXL",Gouda,370.0,25.0,30.0,0.0,https://images.openfoodfacts.org/images/products/000/002/028/0239/front_fi.20.400.jpg
20281151,"Duc De Coeur, Deluxe",,Crème brûlée,232.0,4.3,15.0,20.0,https://images.openfoodfacts.org/images/products/000/002/028/1151/front_pt.117.400.jpg
20284329,ITALIAMO,Heringsfilet in Tomatensauce,Капелети,307.0,11.1,6.7,49.5,https://images.openfoodfacts.org/images/products/000/002/028/4329/front_hu.58.400.jpg
20289485,Pilos,Somlói galuska,Somlói galuska,158.7,1.5,4.1,27.0,
20310615,Crownfield,,Crunchy,464.0,8.5,18.0,64.0,https://images.openfoodfacts.org/images/products/000/002/031/0615/front_en.26.400.jpg
20329211,Deluxe,,tortellini with fontina cheese & spinach,290.0,10.4,7.6,43.6,https://images.openfoodfacts.org/images/products/000/002/032/9211/front_hr.72.400.jpg
20347529,Tastino,Petit Beurre classic vaníliás keksz,Tastino Biscuiti Petit beurre,420.9,9.2,9.2,72.6,https://images.openfoodfacts.org/images/products/000/002/034/7529/front_ro.4.400.jpg
20364618,"Ocean Sea,Lidl",,"Filetti Di Merluzzo D, Fisch",75.0,16.0,0.8,0.0,https://images.openfoodfacts.org/images/products/000/002/036/4618/front_fr.8.400.jpg
20367343,Milbona,,Greek Yoghurt,107.0,3.2,8.5,4.3,https://images.openfoodfacts.org/images/products/000/002/036/7343/front_en.128.400.jpg
20442767,"Chêne d’Argent, Duc de Coeur",,Камамбер,269.0,19.0,21.0,1.0,https://images.openfoodfacts.org/images/products/000/002/044/2767/front_en.42.400.jpg
20443382,Baresa,Fekete olívabogyó,Olijven / Olives,172.0,1.0,18.0,0.0,https://images.openfoodfacts.org/images/products/000/002/044/3382/front_hu.43.400.jpg
20444112,Deluxe Lidl,,profiteroles,302.0,5.0,13.2,37.0,https://images.openfoodfacts.org/images/products/000/002/044/4112/front_en.35.400.jpg
20452735,"Lidl,Sondey,Merba",,Cookies Haselnusscreme & Schokolade,517.0,6.0,27.7,59.6,https://images.openfoodfacts.org/images/products/000/002/045/2735/front_fr.28.400.jpg
20465902,Bellarom,Clasic strength,Clasic strength,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/000/002/046/5902/front_hu.22.400.jpg
20484804,"El Tequito, Freshona, El Tequito - Lidl",,Jalapeños,12.0,0.6,0.1,1.6,https://images.openfoodfacts.org/images/products/000/002/048/4804/front_en.36.400.jpg
20488703,Fin Carré,,Crusti Choc,514.0,6.5,26.5,61.4,https://images.openfoodfacts.org/images/products/000/002/048/8703/front_es.147.400.jpg
20491598,"Italiamo, LIDL Italiamo",,Wurst Antipastiplatte,266.0,26.0,18.0,0.0,https://images.openfoodfacts.org/images/products/000/002/049/1598/front_fr.37.400.jpg
20499822,Italiamo,"Tortellone with Ricotta, &quot;Gorgonzola PDO&quot; & Walnuts",Tortelloni ricotta et noix,325.0,9.7,11.4,43.9,https://images.openfoodfacts.org/images/products/000/002/049/9822/front_hu.75.400.jpg
20503581,Italiamo (lidl),,Salami Ventricina,385.0,27.5,30.5,0.0,https://images.openfoodfacts.org/images/products/000/002/050/3581/front_en.30.400.jpg
20510114,Valley Spire,,Cheddar Valley Spire,416.0,25.4,34.9,0.1,https://images.openfoodfacts.org/images/products/000/002/051/0114/front_hu.13.400.jpg
20529963,Alesto,,cruspies wasabi,555.0,14.9,34.3,44.2,https://images.openfoodfacts.org/images/products/000/002/052/9963/front_de.23.400.jpg
20535438,Lidl,Nut Bar pisztáciával,Nut Bar pisztáciával,555.4,12.9,35.7,43.9,https://images.openfoodfacts.org/images/products/000/002/053/5438/front_hu.7.400.jpg
20536350,Kania,Instant Tésztaleves,Pasta i Basta,79.0,1.8,3.4,10.1,https://images.openfoodfacts.org/images/products/000/002/053/6350/front_ro.7.400.jpg
20540111,"McEnnedy,Bechtel",Yogurt with Cola Bubbles,Yogurt with Cola Bubbles,88.7,2.5,2.6,13.6,https://images.openfoodfacts.org/images/products/000/002/054/0111/front_en.6.400.jpg
20590260,Solevita,,Orangensaft,44.0,0.7,0.2,9.1,https://images.openfoodfacts.org/images/products/000/002/059/0260/front_fr.32.400.jpg
